plik,emocja_prawdziwa,emocja_predykcja,zgodność,prawd_emocji_prawidłowej_%,angry_%,disgust_%,fear_%,happy_%,sad_%,surprise_%,neutral_%
FER2013/test\angry\PublicTest_89722367.jpg,angry,angry,TAK,83.06,83.06,0.0,15.86,0.13,0.31,0.0,0.64
FER2013/test\angry\PrivateTest_12000629.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PublicTest_76875834.jpg,angry,angry,TAK,63.81,63.81,0.46,32.18,0.0,0.94,0.58,2.03
FER2013/test\angry\PublicTest_88558122.jpg,angry,sad,NIE,4.21,4.21,0.0,1.39,0.0,90.71,0.0,3.69
FER2013/test\angry\PublicTest_54144300.jpg,angry,angry,TAK,65.75,65.75,0.0,34.13,0.07,0.04,0.01,0.0
FER2013/test\angry\PublicTest_14388186.jpg,angry,surprise,NIE,24.52,24.52,0.0,0.34,0.02,0.17,72.85,2.08
FER2013/test\angry\PublicTest_21498023.jpg,angry,angry,TAK,98.94,98.94,0.01,1.0,0.0,0.03,0.01,0.0
FER2013/test\angry\PrivateTest_54096394.jpg,angry,happy,NIE,2.95,2.95,0.16,2.05,76.64,8.2,0.01,10.0
FER2013/test\angry\PrivateTest_66644428.jpg,angry,sad,NIE,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
FER2013/test\angry\PublicTest_67194596.jpg,angry,neutral,NIE,14.98,14.98,0.0,9.36,0.86,29.63,0.24,44.93
FER2013/test\angry\PublicTest_32720867.jpg,angry,neutral,NIE,33.25,33.25,0.23,6.49,6.54,14.44,0.16,38.9
FER2013/test\angry\PublicTest_17320024.jpg,angry,neutral,NIE,0.07,0.07,0.0,11.97,0.0,24.8,0.0,63.17
FER2013/test\angry\PublicTest_44184063.jpg,angry,sad,NIE,11.72,11.72,0.02,25.3,0.0,57.91,0.0,5.05
FER2013/test\angry\PublicTest_45792830.jpg,angry,angry,TAK,67.01,67.01,0.0,30.58,0.01,0.41,1.89,0.1
FER2013/test\angry\PublicTest_96104154.jpg,angry,fear,NIE,0.01,0.01,0.0,99.48,0.1,0.25,0.01,0.14
FER2013/test\angry\PrivateTest_2913776.jpg,angry,sad,NIE,13.68,13.68,0.0,2.65,0.0,83.03,0.0,0.64
FER2013/test\angry\PrivateTest_1862370.jpg,angry,angry,TAK,94.54,94.54,0.0,5.28,0.19,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_41930252.jpg,angry,angry,TAK,99.02,99.02,0.0,0.95,0.01,0.02,0.0,0.0
FER2013/test\angry\PublicTest_8668068.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_27211238.jpg,angry,sad,NIE,0.0,0.0,0.0,0.0,0.0,99.93,0.0,0.07
FER2013/test\angry\PrivateTest_36424712.jpg,angry,angry,TAK,54.87,54.87,0.0,3.84,6.6,17.67,0.07,16.94
FER2013/test\angry\PublicTest_96057304.jpg,angry,angry,TAK,66.27,66.27,0.0,16.32,10.6,6.81,0.0,0.0
FER2013/test\angry\PrivateTest_95380145.jpg,angry,sad,NIE,31.42,31.42,0.0,0.52,0.01,36.94,0.05,31.06
FER2013/test\angry\PrivateTest_99528552.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_99855040.jpg,angry,fear,NIE,29.17,29.17,0.01,69.68,0.17,0.97,0.0,0.0
FER2013/test\angry\PublicTest_17487264.jpg,angry,sad,NIE,27.73,27.73,0.0,28.58,0.0,43.66,0.0,0.03
FER2013/test\angry\PrivateTest_47230287.jpg,angry,neutral,NIE,0.08,0.08,0.0,1.35,12.43,1.12,0.01,85.01
FER2013/test\angry\PrivateTest_31560766.jpg,angry,fear,NIE,9.02,9.02,0.81,68.6,0.79,20.77,0.0,0.01
FER2013/test\angry\PrivateTest_62105894.jpg,angry,fear,NIE,0.28,0.28,0.0,58.1,0.08,39.42,0.01,2.11
FER2013/test\angry\PrivateTest_90676809.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_58001197.jpg,angry,sad,NIE,1.24,1.24,0.0,0.6,21.23,76.92,0.0,0.0
FER2013/test\angry\PublicTest_18471170.jpg,angry,angry,TAK,89.59,89.59,0.0,0.59,0.0,8.03,0.0,1.79
FER2013/test\angry\PrivateTest_19666123.jpg,angry,happy,NIE,0.08,0.08,0.01,0.31,78.85,2.13,0.02,18.59
FER2013/test\angry\PublicTest_3168890.jpg,angry,angry,TAK,98.27,98.27,0.91,0.74,0.0,0.08,0.01,0.0
FER2013/test\angry\PrivateTest_87989162.jpg,angry,sad,NIE,0.02,0.02,0.0,0.17,9.36,88.38,0.0,2.08
FER2013/test\angry\PublicTest_67411006.jpg,angry,angry,TAK,99.03,99.03,0.01,0.21,0.25,0.07,0.19,0.25
FER2013/test\angry\PrivateTest_13463625.jpg,angry,fear,NIE,7.62,7.62,0.09,77.26,1.65,7.99,2.82,2.57
FER2013/test\angry\PrivateTest_84211245.jpg,angry,sad,NIE,0.01,0.01,0.0,4.61,0.05,95.27,0.0,0.05
FER2013/test\angry\PublicTest_1460129.jpg,angry,angry,TAK,99.99,99.99,0.0,0.0,0.01,0.0,0.0,0.0
FER2013/test\angry\PublicTest_14561390.jpg,angry,fear,NIE,3.3,3.3,0.0,93.87,0.01,2.81,0.0,0.0
FER2013/test\angry\PublicTest_11521746.jpg,angry,sad,NIE,0.28,0.28,0.0,12.68,0.03,86.81,0.0,0.2
FER2013/test\angry\PrivateTest_33585800.jpg,angry,angry,TAK,97.9,97.9,0.3,0.66,0.05,0.38,0.66,0.04
FER2013/test\angry\PublicTest_18509921.jpg,angry,angry,TAK,77.3,77.3,0.0,0.17,1.19,7.51,0.03,13.81
FER2013/test\angry\PrivateTest_14740105.jpg,angry,happy,NIE,43.19,43.19,0.0,0.0,53.39,3.4,0.0,0.01
FER2013/test\angry\PrivateTest_54204181.jpg,angry,sad,NIE,7.49,7.49,0.0,37.29,0.0,45.86,0.23,9.14
FER2013/test\angry\PrivateTest_95676588.jpg,angry,surprise,NIE,1.7,1.7,0.0,0.6,0.03,0.01,97.66,0.0
FER2013/test\angry\PrivateTest_41125468.jpg,angry,angry,TAK,99.93,99.93,0.0,0.0,0.0,0.07,0.0,0.0
FER2013/test\angry\PrivateTest_49383844.jpg,angry,fear,NIE,4.89,4.89,0.77,85.09,0.03,9.18,0.0,0.04
FER2013/test\angry\PrivateTest_96123615.jpg,angry,angry,TAK,72.26,72.26,0.0,14.5,0.23,12.69,0.03,0.29
FER2013/test\angry\PublicTest_4379266.jpg,angry,neutral,NIE,7.58,7.58,0.0,0.05,0.84,8.22,0.0,83.31
FER2013/test\angry\PrivateTest_96028430.jpg,angry,sad,NIE,2.36,2.36,0.04,0.59,0.01,76.4,0.0,20.59
FER2013/test\angry\PublicTest_47244745.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_56445474.jpg,angry,neutral,NIE,25.47,25.47,0.0,1.08,0.21,17.31,0.0,55.92
FER2013/test\angry\PrivateTest_76832798.jpg,angry,sad,NIE,1.02,1.02,0.0,0.16,0.12,97.86,0.0,0.84
FER2013/test\angry\PrivateTest_86408178.jpg,angry,angry,TAK,99.38,99.38,0.0,0.23,0.14,0.23,0.0,0.01
FER2013/test\angry\PrivateTest_48885767.jpg,angry,sad,NIE,0.06,0.06,0.0,0.34,40.01,59.58,0.0,0.01
FER2013/test\angry\PublicTest_52706232.jpg,angry,angry,TAK,99.01,99.01,0.0,0.0,0.0,0.0,0.0,0.99
FER2013/test\angry\PrivateTest_70053829.jpg,angry,sad,NIE,0.71,0.71,0.0,6.93,0.02,76.53,0.0,15.8
FER2013/test\angry\PublicTest_64680248.jpg,angry,angry,TAK,88.85,88.85,0.0,11.15,0.0,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_4129990.jpg,angry,angry,TAK,80.12,80.12,0.0,19.33,0.0,0.55,0.0,0.0
FER2013/test\angry\PublicTest_95568842.jpg,angry,sad,NIE,0.0,0.0,0.0,2.94,1.26,88.3,0.0,7.5
FER2013/test\angry\PrivateTest_63729606.jpg,angry,angry,TAK,83.13,83.13,0.0,0.18,0.0,15.4,0.0,1.28
FER2013/test\angry\PrivateTest_62110213.jpg,angry,sad,NIE,20.77,20.77,0.0,12.38,0.03,66.7,0.08,0.04
FER2013/test\angry\PublicTest_47495579.jpg,angry,angry,TAK,96.04,96.04,0.0,3.2,0.1,0.34,0.0,0.32
FER2013/test\angry\PrivateTest_27681985.jpg,angry,sad,NIE,8.31,8.31,0.0,11.5,0.0,58.48,0.0,21.72
FER2013/test\angry\PrivateTest_24550940.jpg,angry,angry,TAK,88.74,88.74,9.83,1.23,0.0,0.02,0.14,0.04
FER2013/test\angry\PrivateTest_54624150.jpg,angry,neutral,NIE,6.59,6.59,0.0,4.44,3.57,37.91,0.27,47.22
FER2013/test\angry\PublicTest_67037873.jpg,angry,angry,TAK,83.65,83.65,0.0,2.32,0.01,12.99,0.0,1.03
FER2013/test\angry\PublicTest_94935984.jpg,angry,angry,TAK,99.99,99.99,0.0,0.01,0.0,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_53931951.jpg,angry,happy,NIE,0.01,0.01,0.0,0.0,99.11,0.26,0.0,0.62
FER2013/test\angry\PrivateTest_20789399.jpg,angry,sad,NIE,0.0,0.0,0.0,0.17,23.99,54.17,0.0,21.67
FER2013/test\angry\PrivateTest_63627829.jpg,angry,neutral,NIE,0.23,0.23,0.0,0.02,0.09,0.5,0.0,99.15
FER2013/test\angry\PrivateTest_99012891.jpg,angry,fear,NIE,4.65,4.65,3.57,46.42,0.79,39.26,0.6,4.71
FER2013/test\angry\PublicTest_65021363.jpg,angry,sad,NIE,0.2,0.2,0.39,3.58,0.0,95.41,0.0,0.41
FER2013/test\angry\PrivateTest_43530807.jpg,angry,angry,TAK,95.55,95.55,0.0,0.06,0.0,4.34,0.0,0.06
FER2013/test\angry\PrivateTest_54388384.jpg,angry,angry,TAK,65.01,65.01,0.0,0.06,21.79,0.19,0.0,12.95
FER2013/test\angry\PublicTest_80685818.jpg,angry,sad,NIE,26.7,26.7,0.57,20.15,0.0,50.85,0.48,1.25
FER2013/test\angry\PublicTest_79773769.jpg,angry,angry,TAK,89.48,89.48,0.0,0.0,0.0,10.49,0.0,0.03
FER2013/test\angry\PrivateTest_48468437.jpg,angry,happy,NIE,0.02,0.02,0.0,0.01,99.82,0.01,0.0,0.14
FER2013/test\angry\PrivateTest_77007111.jpg,angry,sad,NIE,2.37,2.37,0.0,4.31,1.88,87.42,0.01,4.01
FER2013/test\angry\PrivateTest_20431702.jpg,angry,angry,TAK,99.8,99.8,0.0,0.0,0.2,0.0,0.0,0.0
FER2013/test\angry\PublicTest_91350708.jpg,angry,fear,NIE,0.0,0.0,0.0,93.44,0.0,6.54,0.0,0.02
FER2013/test\angry\PrivateTest_68462643.jpg,angry,angry,TAK,99.44,99.44,0.0,0.01,0.0,0.44,0.0,0.11
FER2013/test\angry\PublicTest_91336201.jpg,angry,neutral,NIE,0.44,0.44,0.0,0.22,0.06,0.86,0.0,98.42
FER2013/test\angry\PublicTest_15411158.jpg,angry,neutral,NIE,16.62,16.62,0.0,0.28,0.0,29.73,0.0,53.37
FER2013/test\angry\PrivateTest_78045498.jpg,angry,angry,TAK,96.29,96.29,0.01,3.54,0.01,0.12,0.02,0.02
FER2013/test\angry\PublicTest_10116449.jpg,angry,angry,TAK,98.64,98.64,0.0,0.09,0.0,0.63,0.0,0.65
FER2013/test\angry\PrivateTest_60168295.jpg,angry,neutral,NIE,0.38,0.38,0.0,7.35,4.17,1.63,22.04,64.42
FER2013/test\angry\PublicTest_29284838.jpg,angry,surprise,NIE,7.72,7.72,0.03,1.07,0.07,1.74,89.36,0.02
FER2013/test\angry\PrivateTest_24139016.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_22419133.jpg,angry,sad,NIE,0.87,0.87,0.0,8.88,0.0,77.07,0.0,13.18
FER2013/test\angry\PrivateTest_90514331.jpg,angry,sad,NIE,4.94,4.94,0.07,39.64,1.76,48.91,0.05,4.63
FER2013/test\angry\PublicTest_63705954.jpg,angry,angry,TAK,99.68,99.68,0.0,0.06,0.0,0.27,0.0,0.0
FER2013/test\angry\PrivateTest_27212219.jpg,angry,sad,NIE,0.0,0.0,0.0,0.7,0.0,75.58,0.0,23.72
FER2013/test\angry\PrivateTest_22908984.jpg,angry,angry,TAK,44.83,44.83,7.91,39.69,0.01,7.04,0.15,0.37
FER2013/test\angry\PrivateTest_62630976.jpg,angry,neutral,NIE,5.21,5.21,0.0,0.03,8.69,0.09,0.0,85.98
FER2013/test\angry\PrivateTest_66535975.jpg,angry,fear,NIE,48.26,48.26,0.0,48.67,0.0,3.0,0.01,0.06
FER2013/test\angry\PublicTest_85640402.jpg,angry,fear,NIE,1.83,1.83,0.02,69.58,0.08,0.21,28.21,0.05
FER2013/test\angry\PublicTest_93558553.jpg,angry,sad,NIE,1.21,1.21,0.02,29.96,7.81,57.69,0.48,2.83
FER2013/test\angry\PublicTest_59592636.jpg,angry,happy,NIE,0.08,0.08,0.0,0.13,96.59,0.82,0.0,2.38
FER2013/test\angry\PublicTest_47452496.jpg,angry,sad,NIE,0.04,0.04,0.0,3.01,0.13,96.36,0.0,0.46
FER2013/test\angry\PublicTest_84522114.jpg,angry,neutral,NIE,28.34,28.34,0.0,0.1,25.8,2.98,0.0,42.77
FER2013/test\angry\PrivateTest_6420283.jpg,angry,sad,NIE,0.04,0.04,0.0,1.8,0.0,98.16,0.0,0.0
FER2013/test\angry\PublicTest_8403145.jpg,angry,angry,TAK,34.66,34.66,0.26,17.9,31.45,15.28,0.02,0.43
FER2013/test\angry\PrivateTest_90197248.jpg,angry,neutral,NIE,0.03,0.03,0.0,0.0,0.0,1.3,0.0,98.68
FER2013/test\angry\PublicTest_86863879.jpg,angry,neutral,NIE,10.68,10.68,0.0,0.91,1.24,1.06,0.47,85.64
FER2013/test\angry\PrivateTest_65714191.jpg,angry,sad,NIE,9.37,9.37,0.0,16.96,0.32,44.09,0.01,29.25
FER2013/test\angry\PrivateTest_66928656.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PublicTest_24668305.jpg,angry,neutral,NIE,0.03,0.03,0.0,0.24,0.0,6.34,0.02,93.37
FER2013/test\angry\PrivateTest_14565821.jpg,angry,angry,TAK,36.76,36.76,3.03,18.7,20.72,3.35,6.42,11.03
FER2013/test\angry\PublicTest_25544065.jpg,angry,happy,NIE,7.03,7.03,0.02,0.75,60.82,0.3,22.35,8.73
FER2013/test\angry\PrivateTest_28003761.jpg,angry,angry,TAK,75.33,75.33,0.0,0.14,0.0,23.37,0.0,1.15
FER2013/test\angry\PrivateTest_60498147.jpg,angry,sad,NIE,7.03,7.03,0.0,0.2,0.0,92.68,0.0,0.09
FER2013/test\angry\PrivateTest_41252401.jpg,angry,fear,NIE,5.0,5.0,0.02,93.07,0.34,1.57,0.0,0.0
FER2013/test\angry\PrivateTest_93613500.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PublicTest_2489773.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_89997268.jpg,angry,sad,NIE,23.6,23.6,0.0,11.66,0.0,46.04,0.0,18.69
FER2013/test\angry\PrivateTest_3309033.jpg,angry,sad,NIE,0.03,0.03,0.01,0.53,0.0,98.79,0.0,0.64
FER2013/test\angry\PrivateTest_94431780.jpg,angry,fear,NIE,0.32,0.32,0.0,92.57,3.87,0.06,1.15,2.04
FER2013/test\angry\PublicTest_74458895.jpg,angry,sad,NIE,19.67,19.67,0.0,3.23,0.01,48.76,0.02,28.31
FER2013/test\angry\PublicTest_61780409.jpg,angry,angry,TAK,49.74,49.74,0.0,8.24,39.95,2.01,0.01,0.05
FER2013/test\angry\PrivateTest_5216477.jpg,angry,fear,NIE,1.81,1.81,0.0,63.31,0.0,34.88,0.0,0.0
FER2013/test\angry\PrivateTest_92990358.jpg,angry,sad,NIE,0.13,0.13,0.0,2.24,0.0,97.27,0.01,0.35
FER2013/test\angry\PublicTest_17116818.jpg,angry,disgust,NIE,22.34,22.34,64.2,5.81,0.0,7.55,0.0,0.09
FER2013/test\angry\PrivateTest_91043500.jpg,angry,surprise,NIE,0.0,0.0,0.0,0.21,11.04,0.0,88.74,0.0
FER2013/test\angry\PrivateTest_88089430.jpg,angry,fear,NIE,3.64,3.64,0.08,89.8,0.8,2.01,3.63,0.04
FER2013/test\angry\PrivateTest_68625027.jpg,angry,sad,NIE,7.11,7.11,0.57,41.54,1.61,45.03,0.22,3.92
FER2013/test\angry\PrivateTest_14887556.jpg,angry,sad,NIE,3.31,3.31,0.0,10.77,0.02,45.74,0.03,40.14
FER2013/test\angry\PrivateTest_94363717.jpg,angry,surprise,NIE,44.1,44.1,0.0,0.07,0.12,0.0,55.71,0.0
FER2013/test\angry\PublicTest_17614009.jpg,angry,neutral,NIE,0.01,0.01,0.0,0.01,0.0,1.06,0.0,98.92
FER2013/test\angry\PrivateTest_26910183.jpg,angry,fear,NIE,32.55,32.55,0.04,39.36,0.01,27.12,0.82,0.1
FER2013/test\angry\PublicTest_94047538.jpg,angry,fear,NIE,17.25,17.25,0.02,82.33,0.06,0.3,0.04,0.0
FER2013/test\angry\PublicTest_95625709.jpg,angry,neutral,NIE,33.7,33.7,0.0,0.61,0.27,2.06,1.94,61.42
FER2013/test\angry\PrivateTest_17503955.jpg,angry,sad,NIE,10.76,10.76,12.76,35.79,0.05,40.4,0.04,0.21
FER2013/test\angry\PublicTest_44227970.jpg,angry,angry,TAK,99.98,99.98,0.0,0.0,0.0,0.02,0.0,0.0
FER2013/test\angry\PublicTest_23643566.jpg,angry,sad,NIE,13.55,13.55,0.0,2.84,0.01,79.64,0.0,3.96
FER2013/test\angry\PublicTest_83372303.jpg,angry,angry,TAK,88.41,88.41,0.0,0.21,0.01,7.19,0.0,4.18
FER2013/test\angry\PrivateTest_70603110.jpg,angry,angry,TAK,99.9,99.9,0.0,0.03,0.0,0.06,0.0,0.0
FER2013/test\angry\PublicTest_83042442.jpg,angry,sad,NIE,0.03,0.03,0.0,0.09,0.0,79.7,0.0,20.18
FER2013/test\angry\PublicTest_77938889.jpg,angry,neutral,NIE,18.19,18.19,0.0,0.12,0.0,21.15,0.0,60.55
FER2013/test\angry\PublicTest_65705281.jpg,angry,sad,NIE,7.03,7.03,0.0,0.2,0.0,92.68,0.0,0.09
FER2013/test\angry\PublicTest_7905606.jpg,angry,sad,NIE,2.73,2.73,0.0,0.77,0.0,77.52,0.0,18.98
FER2013/test\angry\PrivateTest_20588149.jpg,angry,neutral,NIE,14.41,14.41,0.0,0.06,6.06,0.31,0.12,79.04
FER2013/test\angry\PublicTest_96557391.jpg,angry,sad,NIE,11.18,11.18,0.12,7.67,0.64,63.98,0.06,16.34
FER2013/test\angry\PrivateTest_59490446.jpg,angry,sad,NIE,0.38,0.38,0.0,31.94,0.05,49.83,0.0,17.8
FER2013/test\angry\PrivateTest_59389857.jpg,angry,angry,TAK,70.14,70.14,0.01,24.07,0.03,3.52,0.32,1.92
FER2013/test\angry\PublicTest_76439875.jpg,angry,angry,TAK,96.96,96.96,0.0,0.0,3.04,0.0,0.0,0.0
FER2013/test\angry\PublicTest_96387819.jpg,angry,angry,TAK,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_35198928.jpg,angry,sad,NIE,3.8,3.8,0.0,14.85,0.08,40.98,0.0,40.29
FER2013/test\angry\PrivateTest_66494063.jpg,angry,happy,NIE,0.05,0.05,0.0,0.02,85.4,0.07,0.0,14.47
FER2013/test\angry\PrivateTest_22793925.jpg,angry,neutral,NIE,10.93,10.93,0.0,15.3,0.03,0.28,6.19,67.27
FER2013/test\angry\PublicTest_53519543.jpg,angry,sad,NIE,14.94,14.94,0.13,38.14,0.0,42.07,0.03,4.68
FER2013/test\angry\PrivateTest_13278552.jpg,angry,angry,TAK,99.45,99.45,0.0,0.44,0.1,0.0,0.0,0.0
FER2013/test\angry\PublicTest_5251552.jpg,angry,angry,TAK,84.01,84.01,0.0,4.0,0.0,11.95,0.0,0.04
FER2013/test\angry\PrivateTest_88815839.jpg,angry,angry,TAK,99.63,99.63,0.0,0.36,0.01,0.01,0.0,0.0
FER2013/test\angry\PrivateTest_97823562.jpg,angry,neutral,NIE,5.51,5.51,0.0,14.19,1.98,14.22,0.05,64.04
FER2013/test\angry\PrivateTest_23190617.jpg,angry,sad,NIE,28.06,28.06,0.48,33.89,0.01,37.18,0.08,0.29
FER2013/test\angry\PrivateTest_1221822.jpg,angry,angry,TAK,99.97,99.97,0.0,0.02,0.0,0.0,0.0,0.0
FER2013/test\angry\PrivateTest_42247290.jpg,angry,happy,NIE,0.0,0.0,0.0,0.02,99.97,0.0,0.01,0.0
FER2013/test\angry\PublicTest_3641062.jpg,angry,fear,NIE,32.86,32.86,0.0,45.14,15.21,0.21,6.59,0.0
FER2013/test\angry\PrivateTest_57926270.jpg,angry,sad,NIE,4.76,4.76,0.0,1.7,0.22,72.04,0.0,21.27
FER2013/test\angry\PrivateTest_7588358.jpg,angry,sad,NIE,9.15,9.15,0.0,8.47,0.0,79.61,0.0,2.77
FER2013/test\angry\PublicTest_34922989.jpg,angry,neutral,NIE,1.28,1.28,0.02,1.59,1.22,4.77,0.49,90.64
FER2013/test\angry\PublicTest_20761396.jpg,angry,angry,TAK,81.56,81.56,0.0,3.46,13.62,0.06,0.0,1.29
FER2013/test\angry\PrivateTest_83094105.jpg,angry,angry,TAK,55.63,55.63,23.0,21.22,0.0,0.13,0.0,0.0
FER2013/test\angry\PublicTest_335516.jpg,angry,angry,TAK,56.7,56.7,0.0,3.1,0.0,39.64,0.0,0.55
FER2013/test\angry\PublicTest_7340890.jpg,angry,neutral,NIE,0.05,0.05,0.0,0.15,0.01,0.48,0.0,99.3
FER2013/test\angry\PrivateTest_97025951.jpg,angry,angry,TAK,97.92,97.92,0.0,0.05,0.09,1.94,0.0,0.0
FER2013/test\angry\PublicTest_99607072.jpg,angry,neutral,NIE,19.44,19.44,0.0,0.04,0.01,17.0,0.0,63.51
FER2013/test\angry\PrivateTest_51716447.jpg,angry,sad,NIE,6.14,6.14,0.21,2.12,0.02,91.51,0.0,0.0
FER2013/test\angry\PrivateTest_22203098.jpg,angry,disgust,NIE,44.89,44.89,55.06,0.01,0.0,0.01,0.02,0.0
FER2013/test\angry\PublicTest_9617686.jpg,angry,angry,TAK,99.19,99.19,0.0,0.01,0.21,0.11,0.0,0.48
FER2013/test\angry\PublicTest_88659438.jpg,angry,fear,NIE,0.06,0.06,0.0,97.85,0.15,1.93,0.0,0.01
